down,ydstogo,yardline_100,qtr,time_remaining,score_diff,offense_timeouts,defense_timeouts,home,weather_temp,weather_wind,weather_rain
3,4,44,2,2635,-23,3,2,0,67.0,4.2,0
3,3,46,4,428,-14,2,1,1,42.8,5.4,1
4,12,93,2,1677,-9,3,1,1,28.0,8.4,0
3,16,72,4,1407,2,1,2,0,40.8,16.3,0
2,19,10,3,342,6,1,3,0,40.6,-3.3,1
4,1,43,3,440,6,3,3,0,67.8,5.7,1
2,1,73,3,3431,-5,3,3,1,68.2,11.0,1
2,13,11,4,3363,-27,0,3,1,91.0,9.5,1
4,6,50,1,3517,-2,0,2,0,38.1,7.1,0
2,10,49,1,1628,-10,3,2,1,57.8,5.6,1
1,2,8,2,1335,-10,1,3,0,68.6,2.6,0
2,2,94,2,3275,-8,0,0,0,67.8,4.6,1
4,11,37,2,680,1,2,2,1,34.6,5.4,0
1,14,27,1,1634,-5,0,2,1,68.1,4.0,1
2,17,9,3,2715,15,2,3,1,59.3,13.4,1
1,10,6,1,326,-23,1,0,0,59.1,15.7,1
3,13,20,3,959,-3,2,1,1,73.2,9.9,1
2,17,73,4,1286,23,1,3,1,41.1,14.7,0
2,9,27,4,3553,-22,0,0,0,55.4,10.4,1
1,4,45,1,3497,24,3,3,0,33.3,12.0,0
3,16,65,1,839,-5,3,3,0,68.2,12.8,0
3,1,33,2,3155,19,0,3,0,46.2,4.1,0
4,6,40,3,2203,18,3,2,1,41.1,11.2,1
2,3,48,2,1849,18,3,0,0,33.4,13.8,1
1,13,89,1,743,8,2,1,1,69.4,-6.6,1
4,6,92,1,1183,-21,0,3,1,59.9,2.7,0
3,7,29,1,1972,3,2,3,1,78.4,6.9,1
3,13,25,4,590,17,0,1,0,78.7,21.2,0
1,6,40,4,1689,15,2,2,0,67.9,12.4,1
2,7,20,4,496,-9,0,2,0,40.1,12.6,0
4,10,56,3,314,27,3,3,1,48.8,11.1,1
4,3,53,1,560,-20,2,1,1,56.4,9.3,1
2,18,46,3,2721,-26,3,1,0,73.7,6.4,1
4,19,46,3,1915,9,1,2,1,91.6,12.1,0
4,14,85,3,2969,-20,1,1,1,61.4,1.6,0
2,3,15,3,2518,16,1,0,0,39.3,9.8,0
4,9,76,1,166,24,2,2,0,67.3,9.3,0
2,7,57,3,1067,-15,3,3,1,67.0,4.7,0
1,4,78,4,1228,9,2,1,1,48.9,12.0,1
3,17,57,2,3543,-18,3,2,1,65.5,2.9,0
3,8,76,2,2154,-10,0,2,1,41.6,-0.6,0
1,13,60,1,1680,-22,2,2,0,39.6,-3.7,0
4,14,70,3,3364,15,3,2,1,78.7,9.0,1
1,7,41,1,2144,13,3,0,0,56.8,0.4,0
4,7,88,3,2640,-14,0,0,1,79.0,6.7,1
1,19,29,3,1929,0,0,1,0,51.9,10.5,1
4,16,71,2,1461,-8,2,0,1,55.8,5.8,1
4,10,33,2,2775,14,2,1,0,72.0,9.6,1
4,11,78,1,1314,25,3,3,0,32.9,8.5,0
3,1,82,3,3368,-9,1,0,0,62.1,8.2,1
2,4,19,1,1197,15,3,1,1,51.9,4.2,0
3,1,62,3,3050,-3,2,2,0,42.2,13.4,1
2,16,52,3,266,-22,2,3,1,46.7,1.7,1
4,18,40,3,1853,-27,0,2,0,60.8,2.6,0
3,4,28,4,1731,-8,0,0,1,71.3,9.9,1
2,6,61,3,3378,4,3,2,0,79.9,5.1,0
3,7,81,2,1342,-21,3,2,1,54.6,8.3,0
3,16,35,1,1507,9,3,1,1,69.4,10.5,0
1,8,33,2,222,-5,0,2,1,87.5,9.4,0
1,1,85,3,265,24,1,0,1,62.4,7.2,1
1,12,75,2,2020,-26,3,0,1,73.2,10.3,1
1,3,72,2,477,25,0,2,0,57.0,10.2,0
2,13,59,3,1205,-1,1,3,1,90.6,10.5,1
3,17,10,1,3427,-14,1,1,0,61.5,6.4,1
3,2,15,4,1045,-4,3,0,0,37.0,10.5,1
2,19,6,4,3384,2,3,2,0,76.8,8.0,0
4,13,31,1,1507,-13,1,0,1,74.8,5.6,0
3,1,4,4,3289,6,0,0,0,79.6,7.7,1
1,5,47,3,1259,-18,3,2,1,41.4,-2.2,0
4,4,3,4,2705,-16,1,1,0,56.9,0.9,0
3,17,98,4,538,27,1,3,1,35.5,3.6,1
3,14,49,2,2445,-18,0,3,0,25.2,14.6,1
3,8,2,4,1202,9,2,2,1,52.3,12.4,0
3,11,18,4,3015,-18,3,2,0,58.3,10.2,0
1,7,19,3,1638,0,3,1,0,51.0,9.8,0
3,8,67,2,1603,3,0,0,1,59.7,-7.1,0
4,13,76,1,2345,11,2,2,0,67.1,0.8,1
2,4,48,2,1970,27,2,2,1,93.7,7.4,1
3,15,72,2,1987,-17,0,0,0,55.3,8.8,0
1,18,10,2,3233,-18,1,3,1,25.8,9.6,1
2,19,31,4,2670,-23,1,1,1,32.9,10.2,1
2,4,1,3,204,19,3,0,0,54.5,0.7,1
4,8,40,2,3433,18,3,1,0,54.3,2.4,1
1,6,4,1,2027,-28,1,2,0,52.1,15.9,1
2,13,78,3,252,-2,1,0,1,88.8,6.6,0
2,7,53,1,1372,11,2,3,1,48.1,-7.1,0
4,8,74,3,71,-20,1,3,0,52.7,5.3,1
4,3,58,2,2000,-3,2,0,0,65.9,0.2,0
1,11,4,3,2267,8,3,2,1,42.8,6.0,0
1,11,35,2,3446,-28,3,3,0,44.7,3.4,0
4,11,2,1,2437,21,0,0,1,72.4,7.1,1
1,7,8,2,2828,23,3,3,1,60.8,1.2,0
4,15,93,3,2908,-28,1,0,1,59.8,3.1,0
2,12,92,3,1715,-26,1,3,1,36.9,9.2,1
4,4,12,4,1408,-28,0,0,1,83.6,6.2,0
2,7,40,1,2450,-11,0,3,1,91.7,5.4,1
2,13,29,3,256,-2,1,3,1,20.6,16.6,1
3,3,43,3,2026,-27,2,1,0,47.9,-7.1,1
1,7,60,1,624,4,3,2,0,45.5,-0.6,0
3,17,38,2,709,25,3,1,0,50.3,-1.1,0
3,9,80,1,3160,18,3,3,0,49.2,5.8,0
4,10,6,1,1641,8,2,3,0,38.2,11.2,1
4,13,58,2,1980,8,0,0,1,52.0,-7.6,0
3,7,70,1,399,-21,1,2,1,37.1,14.6,0
2,16,55,3,982,-26,0,0,0,44.2,3.8,1
2,1,66,1,1642,11,3,0,0,64.5,-1.2,1
2,9,61,1,3261,-8,1,1,1,39.1,13.8,1
4,12,17,4,1581,26,3,1,0,57.3,2.8,0
2,5,78,3,2268,9,1,1,0,74.8,10.7,0
1,15,27,2,2513,1,1,2,1,55.5,18.7,1
2,2,18,4,713,0,2,2,0,59.1,9.6,1
1,13,54,4,969,-14,2,2,1,67.5,4.3,0
1,13,63,1,1909,19,1,1,1,56.9,4.9,1
1,15,37,2,1414,4,2,3,1,47.6,4.6,0
4,4,6,3,2931,-10,3,3,0,63.2,9.9,0
3,3,98,1,1481,6,0,1,0,47.3,16.2,0
3,12,80,3,1615,16,1,1,1,37.0,9.5,0
2,19,49,1,618,-1,1,2,0,63.8,14.1,1
3,15,35,4,2530,-11,2,3,0,55.4,13.5,1
1,5,87,2,2637,21,3,3,1,46.6,14.5,1
4,8,35,3,1663,-24,2,1,1,77.8,4.7,0
3,6,21,4,2409,4,2,2,1,60.6,6.1,1
4,15,25,3,3503,10,3,3,0,68.8,8.4,1
1,10,55,3,1442,10,3,3,0,58.3,-4.6,1
2,9,74,4,63,7,1,1,0,70.6,11.2,0
3,1,32,3,570,11,3,0,0,47.7,4.1,0
2,13,19,2,2315,12,2,1,1,34.3,6.0,1
2,9,92,2,2834,-4,1,3,0,46.6,9.2,0
1,1,10,3,1937,9,1,2,1,68.3,22.4,0
2,4,55,2,2494,-8,2,2,0,35.0,7.0,0
1,14,18,1,48,-7,1,1,1,58.3,7.0,1
2,15,65,3,2391,11,3,3,0,62.0,7.4,1
3,10,37,3,2292,19,0,3,0,75.5,19.1,1
3,15,8,3,3404,-20,3,3,1,72.0,1.5,0
3,15,17,2,1417,-8,1,0,0,43.0,1.8,1
2,12,48,1,2892,3,2,1,0,42.4,6.3,0
4,4,15,1,874,-7,2,2,1,94.3,9.9,0
1,9,57,3,3235,-7,1,2,0,88.0,1.9,1
2,16,79,1,1987,-25,1,3,0,38.9,3.4,0
1,6,29,3,2737,-5,3,2,0,44.8,13.7,1
2,13,92,1,1892,21,2,2,0,67.7,0.7,0
4,16,73,2,2683,19,3,3,0,33.0,1.2,0
2,11,9,4,2912,16,0,3,1,51.4,10.5,0
4,10,46,2,2730,-18,3,1,1,53.4,12.0,1
2,4,55,2,3543,-28,3,2,1,61.5,-6.7,0
3,10,56,4,3403,-9,2,2,0,72.4,15.0,1
2,1,46,1,2865,-14,3,1,0,79.4,5.2,1
2,3,36,2,1889,4,1,2,0,47.9,16.1,0
4,11,56,2,332,10,2,3,0,47.8,7.5,1
4,5,67,2,1477,-12,2,1,1,68.0,5.0,1
2,7,84,4,2183,-16,1,3,0,76.5,7.1,1
4,7,11,4,3460,23,2,2,0,59.2,20.2,1
2,9,14,1,1138,-23,0,3,1,74.8,5.5,1
3,14,50,4,3488,0,1,2,1,61.2,9.7,1
4,9,42,1,2086,6,0,1,0,60.2,3.4,1
2,17,88,1,3140,-6,1,3,1,51.2,7.1,1
3,10,57,3,2553,-9,2,0,0,39.6,8.2,0
2,19,24,2,2068,8,2,1,0,40.6,4.5,0
1,19,84,1,2909,1,0,2,0,47.2,5.4,0
1,9,86,1,2256,2,1,1,1,64.5,15.4,1
2,15,5,3,2927,-16,1,3,0,65.6,2.2,1
4,9,87,2,1615,-16,0,1,0,57.4,5.7,0
1,17,36,2,130,5,2,0,0,44.3,4.9,0
2,15,23,2,758,-12,3,2,0,59.1,-1.8,0
3,7,12,1,1900,-19,2,3,1,42.1,8.4,1
1,7,8,4,363,23,2,2,0,48.0,10.4,1
3,17,6,2,1646,-12,3,2,1,54.0,6.8,0
2,11,75,4,44,-1,0,3,1,53.0,8.8,0
4,14,89,3,1837,-1,2,1,0,36.1,13.4,0
3,13,94,1,766,-9,2,0,0,56.4,7.3,1
3,4,51,2,2684,2,3,0,0,53.2,11.9,1
1,5,26,4,1938,25,1,1,0,71.9,8.0,0
2,18,88,1,3261,6,1,3,1,46.0,6.6,1
4,6,90,1,3245,6,1,1,1,70.0,16.4,0
1,17,40,3,1422,-1,3,0,1,78.3,11.3,1
4,7,21,2,1495,10,1,0,1,49.8,6.6,1
2,17,83,3,1842,-28,1,1,1,64.6,11.8,1
3,11,36,4,2307,-13,3,0,1,81.2,16.3,1
3,2,53,3,2364,-28,2,2,0,26.9,7.9,1
2,6,87,2,1665,-17,1,2,1,47.6,18.8,0
2,19,17,4,1880,-20,0,0,1,88.2,5.2,1
3,4,30,1,49,-3,0,0,0,62.9,4.9,1
1,5,21,4,263,25,2,0,0,65.5,-1.7,0
3,3,75,1,1539,-5,2,2,1,34.9,-2.4,0
1,12,12,1,3373,15,0,0,1,59.0,2.3,0
3,16,15,2,1335,16,1,3,1,60.0,1.3,0
3,18,33,1,3571,-1,1,0,0,47.4,2.2,0
1,17,38,4,1139,-16,3,3,1,58.9,3.7,1
4,17,74,3,183,-11,3,2,0,26.3,15.3,0
2,18,93,1,1100,5,3,1,0,75.6,7.2,0
4,11,59,3,1393,-27,0,1,1,80.0,2.8,0
1,16,23,1,548,-3,1,3,1,36.3,3.1,1
1,13,65,3,1437,-1,3,0,0,59.0,15.4,1
2,3,69,4,2100,13,2,0,1,42.7,6.4,1
1,1,9,1,709,20,2,3,0,62.3,8.0,1
2,2,91,2,2891,24,3,2,1,54.6,12.4,0
3,7,51,3,611,10,0,1,1,51.8,9.6,1
1,10,77,4,2998,-19,3,0,0,68.5,9.3,0
3,13,6,3,429,0,3,1,1,71.4,7.7,1
1,10,93,2,966,19,2,1,0,33.4,1.5,0
1,7,96,1,1295,-17,3,1,0,77.3,5.0,0
3,14,93,3,1033,16,3,1,1,61.8,6.2,0
4,17,52,2,2366,-27,2,3,1,39.0,18.7,0
1,5,12,4,1023,9,0,3,0,56.7,8.9,1
2,5,45,3,466,15,1,3,0,50.0,11.5,0
4,18,59,4,578,-20,1,2,1,57.5,11.4,0
4,19,44,3,3229,-1,1,2,0,54.1,7.1,0
3,6,42,1,2246,13,0,1,0,44.0,5.8,1
2,10,35,1,3377,-2,1,3,1,41.6,13.7,0
2,11,67,3,527,-7,2,1,0,45.7,11.3,1
3,13,57,1,2463,24,1,2,0,40.2,5.3,0
3,17,73,2,1433,26,2,3,1,75.1,9.3,0
2,3,8,3,3129,-5,3,0,0,51.6,0.8,1
1,10,25,1,1953,-4,3,3,1,54.3,-4.6,0
1,5,87,1,583,1,3,0,0,65.5,2.3,1
4,15,79,1,2438,-20,2,1,1,79.3,9.6,0
2,12,67,2,2085,8,1,1,1,53.9,4.9,1
2,15,41,3,3482,15,0,0,0,66.4,8.2,1
2,18,42,2,2888,6,0,2,0,57.0,8.0,1
4,16,65,1,2941,15,3,3,0,59.4,7.2,1
1,17,76,3,1344,7,2,0,0,50.8,12.0,1
1,16,42,4,1417,-4,0,2,0,52.6,0.1,1
2,12,88,1,2175,-13,1,1,1,67.3,11.9,0
2,8,34,1,2983,17,2,2,1,55.2,11.8,1
3,7,32,1,865,10,2,2,0,44.3,6.1,1
2,7,69,2,1010,7,3,0,1,55.5,5.9,0
2,12,78,1,3520,-19,0,0,1,47.5,8.4,1
4,16,54,3,2443,9,2,3,1,64.3,5.0,0
1,7,94,3,1736,-12,3,3,1,32.4,18.4,1
3,12,84,3,742,-8,1,1,0,64.8,1.8,1
3,8,21,1,1110,27,1,3,0,65.8,12.6,1
2,12,78,2,1572,-16,1,0,0,64.3,8.1,1
4,16,80,3,2962,19,0,0,0,43.7,6.8,1
2,8,86,3,2210,-21,0,1,1,52.9,2.9,0
4,8,52,4,1207,-22,2,1,0,61.6,1.5,0
2,4,76,1,2922,14,3,2,0,42.1,1.4,1
3,10,71,4,2370,8,3,1,0,39.2,14.5,0
3,9,90,2,3351,26,0,3,1,54.8,3.1,0
4,4,30,2,1824,19,2,1,1,56.3,17.1,1
2,19,16,4,3527,4,3,0,1,65.6,-3.3,0
2,17,76,2,2598,15,3,2,1,57.9,3.5,0
1,6,63,4,3047,-3,1,3,1,23.7,14.6,1
2,18,96,3,1727,-24,0,1,1,48.6,17.7,1
4,6,9,2,690,-27,0,2,0,62.2,-3.9,0
1,8,4,2,1797,-13,0,0,1,44.2,6.0,0
4,3,49,4,3062,22,2,1,1,60.4,10.6,0
3,12,60,4,2852,-22,3,0,0,41.1,2.6,0
1,10,85,4,2108,22,1,0,1,52.1,16.2,1
2,6,66,4,47,-11,0,1,0,59.0,10.9,1
3,6,72,2,1345,-5,2,0,0,80.2,-3.8,1
2,18,39,4,475,7,1,0,1,51.2,6.1,1
1,14,58,4,1090,12,0,1,0,61.1,8.8,0
3,3,14,4,3480,-20,1,2,0,47.7,9.8,1
3,3,69,2,2596,13,2,3,1,40.9,1.4,0
1,2,14,3,325,15,0,3,1,49.4,3.0,0
2,5,17,4,1549,-23,1,1,0,49.0,2.7,0
1,15,17,2,2082,20,2,0,1,49.8,8.3,0
3,2,92,3,3108,2,2,1,1,57.6,6.6,0
3,5,18,4,1246,10,1,0,1,50.2,10.5,1
3,1,21,1,3405,-13,0,2,0,36.9,7.3,0
4,13,98,3,3256,12,1,2,0,51.9,7.4,0
4,16,17,1,3205,9,3,1,1,65.8,2.1,0
2,11,54,4,1219,-24,3,2,0,72.1,7.3,0
1,18,14,2,1670,-19,1,3,1,67.0,6.1,1
3,14,44,3,1434,14,2,1,1,61.7,9.7,0
4,15,92,1,3178,13,2,0,1,51.6,10.1,0
4,6,33,1,288,-14,2,3,0,25.7,9.7,1
1,17,46,4,2154,-2,0,2,0,38.2,2.1,0
1,12,86,4,69,14,1,2,1,65.6,6.3,0
1,2,53,2,663,17,2,0,0,81.7,17.2,1
1,2,93,3,51,-18,1,1,0,42.8,7.3,1
3,18,38,1,317,16,0,3,1,68.4,14.5,1
3,6,23,1,3537,-5,2,3,0,45.8,-0.2,1
2,9,3,3,160,10,2,0,0,44.2,-1.3,1
2,15,39,1,3278,-24,1,2,1,61.8,7.1,1
4,15,7,3,149,-26,2,1,0,47.5,7.5,1
2,1,57,3,2031,-6,3,1,1,34.4,5.5,1
4,12,2,1,2941,15,3,0,1,49.9,2.4,1
4,18,11,3,2896,14,3,2,0,50.1,5.4,0
2,7,53,1,475,6,2,3,0,33.2,5.5,1
1,11,60,2,2309,16,0,1,0,76.3,6.5,1
4,6,19,3,3192,-21,1,0,0,61.1,5.8,1
3,14,73,2,2547,1,2,3,1,47.3,10.3,0
2,3,40,1,1057,-11,3,0,0,41.0,7.9,0
3,10,19,3,1797,-4,0,3,1,54.8,7.1,1
3,8,46,1,3573,27,1,3,1,39.9,9.9,1
4,13,91,4,277,5,2,1,0,56.7,12.6,1
2,10,53,4,1575,22,2,1,0,22.6,2.5,1
4,19,84,4,1104,27,3,1,0,49.5,9.6,1
4,19,88,2,543,-11,1,2,1,90.1,9.0,1
1,6,23,1,1584,11,0,2,1,55.6,19.1,1
1,1,5,4,819,-1,2,3,1,28.9,13.8,0
3,10,66,3,2166,-2,3,0,0,77.2,9.6,0
1,12,49,2,769,-26,2,1,0,64.3,10.8,1
2,15,36,1,1250,3,3,3,1,50.4,0.2,0
2,10,13,4,585,27,1,0,1,67.9,4.5,1
4,12,15,2,1702,8,2,2,1,30.7,8.6,0
4,1,91,2,2865,26,0,1,1,45.3,8.4,1
1,15,15,4,2428,-17,0,3,0,63.1,4.5,0
4,7,90,3,514,-22,3,2,1,76.8,2.8,0
1,8,27,2,1853,-23,3,2,1,34.7,20.4,0
3,9,14,4,1746,-9,2,0,1,12.2,1.7,0
4,2,51,2,1223,-18,3,2,0,61.3,13.0,1
4,10,12,2,2954,-25,0,3,1,58.7,12.4,1
1,8,27,1,2238,22,0,2,1,41.0,2.8,1
4,5,11,1,2171,17,1,1,0,59.9,11.8,0
1,5,2,1,1272,10,1,0,1,59.4,8.4,0
3,1,10,2,2702,-2,2,1,0,68.5,8.8,1
2,17,95,4,2875,-23,3,1,1,70.8,5.3,1
2,6,16,4,393,25,2,1,1,46.9,1.2,1
1,17,22,1,2569,27,1,2,1,56.6,4.1,0
4,16,16,3,2981,-21,2,2,0,44.9,7.6,0
2,9,8,2,1516,9,1,0,0,62.6,3.4,0
3,16,17,4,2152,-24,0,0,0,48.7,6.5,1
2,5,11,2,3333,-18,3,0,0,78.9,15.4,0
2,4,15,2,16,23,3,1,1,54.4,5.7,1
4,18,45,3,2279,-7,0,2,0,42.6,2.7,1
1,13,38,1,2962,23,2,0,1,41.8,4.0,0
3,14,18,2,921,10,0,3,0,47.5,11.0,0
3,18,25,1,2364,19,3,0,1,58.1,4.0,0
2,1,46,2,2017,-26,3,0,0,73.1,5.8,1
2,4,41,1,56,-13,3,3,0,60.0,1.8,0
1,19,12,4,194,-14,1,3,1,57.3,10.7,0
4,3,88,2,2831,27,1,3,0,46.1,8.9,0
4,9,39,2,1601,5,2,3,1,42.3,10.1,1
1,1,35,2,3554,-21,0,0,1,29.5,8.6,0
1,7,57,2,2994,19,2,1,0,66.3,0.2,1
1,4,29,1,2339,-3,0,1,1,48.2,10.8,0
1,5,61,3,1475,-25,2,0,1,65.4,11.7,1
4,16,90,1,3048,-10,2,0,0,53.6,10.2,0
4,6,83,1,757,24,3,2,0,33.8,14.1,0
1,16,32,3,3096,18,2,1,1,48.2,3.0,1
3,18,10,2,1605,-15,1,3,0,78.7,17.0,0
1,11,12,3,3583,14,1,3,0,69.4,11.2,1
2,11,21,1,2281,25,3,3,1,35.3,3.4,0
3,7,61,4,913,-3,0,0,0,38.9,13.1,1
3,13,49,3,2007,15,1,2,1,65.9,7.8,1
4,16,28,2,1721,5,3,2,0,53.0,9.1,0
1,17,20,4,1255,20,3,1,1,75.1,6.1,1
1,4,51,3,1438,21,3,0,0,60.4,-2.1,1
2,14,95,4,2150,-13,3,0,0,15.0,0.9,1
2,3,76,3,2519,-24,1,1,0,33.4,2.6,0
4,10,26,3,659,21,1,3,0,39.9,9.1,0
4,2,56,4,2284,24,2,0,1,68.2,7.4,0
2,11,50,4,1106,-18,0,0,0,85.3,15.8,1
4,17,80,3,1635,26,0,1,1,63.0,5.2,0
2,16,34,2,414,-25,2,2,0,38.7,1.2,0
3,14,34,1,3347,-20,0,1,1,82.1,6.7,0
2,11,44,1,3190,3,3,3,0,51.3,7.5,0
1,12,17,2,3249,18,3,2,1,62.3,11.1,0
4,2,86,2,1586,27,1,0,1,90.4,5.0,0
1,14,39,3,469,-21,1,1,1,50.0,4.0,0
1,13,85,1,1154,12,1,3,0,43.4,5.3,0
1,3,41,4,1635,-7,3,2,0,77.1,12.7,0
2,13,67,4,433,15,0,0,1,42.7,6.6,1
1,8,71,1,24,-3,3,3,0,35.4,5.3,0
1,10,78,4,2997,-20,0,1,0,76.4,9.5,0
3,16,68,3,2118,7,0,3,0,56.9,15.3,0
4,7,68,1,1132,-3,0,3,0,60.7,5.8,1
1,18,31,1,3106,-3,1,2,0,69.0,7.0,1
2,8,7,3,1350,2,1,2,1,92.9,1.1,0
3,10,92,4,2250,-14,1,1,1,66.4,5.7,1
4,1,83,3,3559,25,3,2,1,70.3,3.6,1
3,3,28,4,1152,-7,1,3,0,26.8,5.6,1
4,6,3,2,1928,-10,2,2,0,76.8,19.4,1
3,19,98,4,3304,15,2,0,0,80.3,-1.0,1
2,5,9,4,215,18,1,1,1,36.7,3.6,1
1,8,4,4,3078,-23,1,1,0,51.8,3.1,1
4,17,97,1,1023,-25,1,3,1,63.9,2.9,0
4,7,67,4,3174,-1,1,0,0,74.6,8.5,0
1,16,60,3,2248,20,2,0,0,26.1,4.1,0
3,3,61,2,2663,11,3,2,1,52.4,8.8,1
1,3,73,4,690,9,1,0,1,38.9,15.3,1
3,1,58,3,311,-28,3,0,0,15.1,-3.2,0
4,3,74,2,1876,23,2,2,1,63.7,10.9,1
1,12,77,1,2099,1,2,3,1,50.2,0.6,1
2,2,21,4,834,15,0,1,1,66.0,-1.8,1
1,12,58,2,1999,-22,1,0,0,45.2,9.9,0
3,12,33,3,1213,26,3,3,0,66.0,8.3,0
4,5,60,1,3352,-19,0,3,0,39.5,16.6,1
1,1,17,2,1451,0,1,0,1,34.9,10.1,0
2,4,86,3,2886,-18,0,1,0,57.5,2.7,1
4,3,27,2,591,1,1,3,1,47.0,10.0,0
2,11,19,1,881,23,3,0,0,35.5,8.8,0
1,18,12,2,2663,-26,0,1,0,49.8,6.4,0
2,9,53,4,2727,-10,1,0,1,31.5,0.2,0
3,13,35,4,2414,-6,1,1,0,58.9,4.4,1
3,6,70,4,1353,19,3,0,1,46.3,6.2,1
2,2,41,2,3569,-23,3,3,1,50.8,10.9,1
4,5,31,4,1368,27,2,3,0,53.1,6.3,0
3,10,31,4,409,22,3,0,1,53.7,8.5,0
2,17,22,1,3285,-6,1,3,1,43.4,13.1,1
4,5,69,2,1969,15,0,0,0,35.9,7.7,1
4,19,13,4,288,23,3,1,1,60.5,7.5,1
2,13,90,1,265,-10,0,0,1,61.4,12.3,0
1,7,26,2,612,18,2,3,0,51.6,7.6,0
3,12,1,4,2659,5,1,0,0,42.9,7.5,0
3,14,66,1,1492,1,3,1,0,54.5,17.4,0
1,14,70,3,819,-1,3,2,1,43.3,7.1,0
3,17,61,4,1597,19,3,3,0,56.4,7.5,0
4,13,36,2,2261,-20,3,2,0,27.6,0.9,0
1,1,17,1,3271,1,2,2,1,48.3,14.5,0
3,8,86,1,2998,18,1,3,0,56.6,7.0,1
1,18,49,4,2279,-21,3,1,1,72.0,8.3,1
3,4,47,1,373,13,0,2,1,43.8,1.2,0
2,10,21,4,2060,27,1,1,1,82.2,4.4,1
1,10,77,3,3011,-21,1,3,1,74.5,10.1,1
4,11,92,3,2581,-14,3,0,1,51.3,6.7,0
1,17,64,3,1419,7,2,0,0,60.0,13.6,0
3,11,71,2,238,17,3,1,0,59.1,5.2,1
1,1,70,4,3533,-5,0,3,0,28.0,0.6,0
4,5,17,4,1900,-27,1,0,1,64.8,4.2,1
3,12,46,3,709,-13,2,1,0,41.5,12.9,1
4,15,29,3,2467,-23,3,2,1,62.1,13.6,0
